ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-11-01 09:05:00,5434.179233520539,1474.1334020976883,4790.323454989077,5434.179233520539,5434.179233730205,-2335.953941702122,-2335.953941702122,-2335.953941702122,-2335.953941702122,-2335.953941702122,-2335.953941702122,0.0,0.0,0.0,3098.225291818417
2018-11-01 09:10:00,5433.490723216739,1632.2843786794517,4958.119628825663,5433.490723080888,5433.490723671896,-2202.673651146667,-2202.673651146667,-2202.673651146667,-2202.673651146667,-2202.673651146667,-2202.673651146667,0.0,0.0,0.0,3230.817072070072
2018-11-01 09:15:00,5432.802212912939,1719.3738251014,4992.345025424846,5432.802212648124,5432.802213535059,-2082.988414988017,-2082.988414988017,-2082.988414988017,-2082.988414988017,-2082.988414988017,-2082.988414988017,0.0,0.0,0.0,3349.8137979249213
2018-11-01 09:30:00,5430.736682001538,1953.7089323308721,5269.9488315420995,5430.736681498186,5430.736682733637,-1854.5980735404105,-1854.5980735404105,-1854.5980735404105,-1854.5980735404105,-1854.5980735404105,-1854.5980735404105,0.0,0.0,0.0,3576.138608461127
2018-11-01 09:35:00,5430.048171697737,1926.7222245389673,5187.081123714575,5430.048170650556,5430.048172740041,-1835.4006862764538,-1835.4006862764538,-1835.4006862764538,-1835.4006862764538,-1835.4006862764538,-1835.4006862764538,0.0,0.0,0.0,3594.647485421284
2018-11-01 09:40:00,5429.359661393938,2015.11964961591,5119.859837728202,5429.359659889816,5429.359662824444,-1849.735216260202,-1849.735216260202,-1849.735216260202,-1849.735216260202,-1849.735216260202,-1849.735216260202,0.0,0.0,0.0,3579.624445133736
2018-11-01 10:00:00,5426.605620178736,1434.4805197834405,4720.217694303075,5426.605618342017,5426.605621983967,-2271.746946653788,-2271.746946653788,-2271.746946653788,-2271.746946653788,-2271.746946653788,-2271.746946653788,0.0,0.0,0.0,3154.858673524948
2018-11-01 10:05:00,5425.917109874936,1298.4990408967178,4679.656508029619,5425.917107631913,5425.917111978084,-2469.4418626498937,-2469.4418626498937,-2469.4418626498937,-2469.4418626498937,-2469.4418626498937,-2469.4418626498937,0.0,0.0,0.0,2956.475247225042
2018-11-01 10:10:00,5425.228599571135,1079.0975588346146,4445.413950276508,5425.228596711312,5425.228601924473,-2701.9061339977065,-2701.9061339977065,-2701.9061339977065,-2701.9061339977065,-2701.9061339977065,-2701.9061339977065,0.0,0.0,0.0,2723.322465573429
2018-11-01 10:15:00,5424.540089267335,830.3619698719152,4121.8457168712885,5424.540085779994,5424.540092032071,-2966.8623874223267,-2966.8623874223267,-2966.8623874223267,-2966.8623874223267,-2966.8623874223267,-2966.8623874223267,0.0,0.0,0.0,2457.6777018450084
